epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.12797,0.14492,0.13912,0.11867,0.09812,0.0968,0.1305,0.13019999999999998,0.07400000000000001,0.006500000000000001,0.12576,0.0876,0.04176992253988654,0.13343007746011346,0.10923900124084504,0.14228099875915498
1,0.2002,0.22091,0.23167,0.19394,0.19712,0.142,0.17309999999999998,0.1954,0.16140000000000002,0.1362,0.20876799999999998,0.16161999999999999,0.14015352381036886,0.18308647618963111,0.193929631626085,0.22360636837391495
2,0.30743,0.30527,0.31531,0.27671,0.29582,0.2248,0.239,0.2489,0.22,0.2162,0.300108,0.22978,0.2174881490409296,0.2420718509590704,0.28686253224684005,0.3133534677531599
3,0.43275,0.44698,0.45445,0.38497,0.40043,0.37939999999999996,0.415,0.41100000000000003,0.335,0.33030000000000004,0.423916,0.37414000000000003,0.33805745020096284,0.4102225497990372,0.39704335249366,0.45078864750634
4,0.53123,0.57781,0.56263,0.529,0.4972,0.5061,0.5898,0.5628,0.5159,0.4714,0.539574,0.5292,0.48712230994933303,0.571277690050667,0.5113940123491865,0.5677539876508135
5,0.59728,0.6234,0.6104,0.60143,0.57329,0.6037,0.6354,0.6424,0.6193,0.5879,0.60116,0.61774,0.59769020199603,0.63778979800397,0.5845958254054119,0.6177241745945882
6,0.63527,0.65591,0.64637,0.63549,0.61283,0.6628000000000001,0.6868000000000001,0.6811,0.6597,0.6396000000000001,0.6371739999999999,0.6660000000000001,0.6492217998581494,0.6827782001418509,0.6227886218680216,0.6515593781319782
7,0.65461,0.67668,0.65834,0.65868,0.63951,0.684,0.7123999999999999,0.6995,0.6796,0.6789000000000001,0.657564,0.69088,0.6777994189731497,0.7039605810268504,0.6457154378931451,0.669412562106855
8,0.67777,0.69163,0.68607,0.66945,0.66217,0.7109000000000001,0.7276,0.7225,0.7025,0.7045999999999999,0.677418,0.71362,0.7037538153270881,0.7234861846729119,0.6667133049553011,0.6881226950446988
9,0.68833,0.68618,0.68276,0.68458,0.66935,0.7331,0.726,0.7426,0.7404999999999999,0.7282,0.68224,0.73408,0.7275282368785189,0.740631763121481,0.6755391075221281,0.6889408924778718
10,0.69628,0.70569,0.69378,0.69172,0.69213,0.7395,0.7533,0.7575,0.7456999999999999,0.7444,0.69592,0.7480799999999999,0.7416176784357321,0.7545423215642676,0.6907786733229642,0.7010613266770358
11,0.7008,0.70956,0.69992,0.69818,0.69598,0.7506999999999999,0.7623000000000001,0.7641,0.7612000000000001,0.7513,0.7008880000000001,0.75792,0.7521913352341055,0.7636486647658945,0.6962496796143433,0.7055263203856569
12,0.711,0.71532,0.70425,0.70685,0.69524,0.7614,0.7718,0.7751,0.7618,0.7545999999999999,0.7065319999999999,0.76494,0.7574621393433683,0.7724178606566316,0.6997495243457864,0.7133144756542135
13,0.71588,0.72098,0.71593,0.71133,0.69964,0.7714,0.7766,0.7744,0.7675,0.7665000000000001,0.7127519999999999,0.7712800000000001,0.7674021655527861,0.7751578344472141,0.7055197018866752,0.7199842981133247
14,0.71661,0.72101,0.71407,0.70987,0.7086,0.7759,0.785,0.7729,0.7746999999999999,0.7744,0.714032,0.77658,0.7722628713245955,0.7808971286754046,0.7095116265640989,0.7185523734359011
15,0.72221,0.72571,0.71196,0.71422,0.70774,0.7826000000000001,0.78,0.782,0.7846,0.7717,0.7163679999999999,0.78018,0.7756933977221064,0.7846666022778935,0.7097364288437806,0.7229995711562192
16,0.72575,0.72098,0.71634,0.72022,0.71222,0.7766,0.7918000000000001,0.7897,0.7818,0.7806000000000001,0.719102,0.7841,0.7783651939875877,0.7898348060124123,0.7145421035099467,0.7236618964900533
17,0.72691,0.72839,0.71988,0.72434,0.71688,0.7897,0.7924,0.7918999999999999,0.7863,0.7818999999999999,0.7232799999999999,0.78844,0.7845261272376328,0.7923538727623672,0.7189687913527643,0.7275912086472356
18,0.73272,0.72905,0.72273,0.71856,0.71326,0.7892,0.7947,0.7933,0.7889,0.7884,0.723264,0.7908999999999999,0.7883177529165473,0.7934822470834526,0.7162584804618073,0.7302695195381927
19,0.72895,0.73004,0.72021,0.72726,0.71617,0.7851,0.7985,0.7947,0.7904000000000001,0.7864,0.724526,0.7910200000000001,0.7859947039888182,0.7960452960111819,0.7191241240295616,0.7299278759704384
20,0.73065,0.73035,0.724,0.72974,0.71642,0.7915000000000001,0.7964,0.7931999999999999,0.7906,0.7894,0.726232,0.79222,0.7897898559713465,0.7946501440286535,0.7207540463674835,0.7317099536325165
21,0.73429,0.73541,0.73192,0.72288,0.72426,0.7968000000000001,0.7968000000000001,0.7993000000000001,0.7997,0.7895,0.7297520000000001,0.79642,0.7927531757609615,0.8000868242390385,0.7245617576164499,0.7349422423835502
22,0.7353,0.73367,0.73118,0.73217,0.7209,0.7920999999999999,0.8019,0.8007,0.7946,0.7979,0.7306440000000001,0.7974399999999999,0.79377088566545,0.8011091143345499,0.7255765248890597,0.7357114751109405
23,0.72805,0.73434,0.7295,0.72984,0.72485,0.7973,0.7988,0.7948000000000001,0.7964,0.7964,0.7293160000000001,0.79674,0.7954321773820583,0.7980478226179417,0.7262468985028189,0.7323851014971813
24,0.73755,0.73403,0.72711,0.72557,0.7262,0.8014,0.7998999999999999,0.8003,0.7903,0.7944,0.7300920000000001,0.7972600000000001,0.7930180193305486,0.8015019806694516,0.7252832978882031,0.734900702111797
25,0.73112,0.73442,0.73068,0.72761,0.72195,0.7940999999999999,0.8018000000000001,0.8009999999999999,0.7943000000000001,0.7956,0.7291559999999999,0.79736,0.794011806457207,0.8007081935427929,0.7249558542882418,0.733356145711758
26,0.72988,0.73755,0.73121,0.72986,0.72034,0.7917000000000001,0.8,0.7908,0.7928000000000001,0.7963,0.729768,0.7943200000000001,0.790921529755905,0.7977184702440953,0.7242626011951903,0.7352733988048097
27,0.73729,0.73909,0.72991,0.73232,0.7278,0.7985,0.8011,0.8020999999999999,0.7994,0.8020999999999999,0.733282,0.8006399999999999,0.7991845275681071,0.8020954724318927,0.7289890970194983,0.7375749029805017
28,0.73435,0.73875,0.73124,0.73127,0.72607,0.7992,0.8012999999999999,0.802,0.7985,0.7939,0.732336,0.7989799999999999,0.7961308597788104,0.8018291402211895,0.7281695645930844,0.7365024354069156
29,0.73659,0.74113,0.72922,0.72795,0.72617,0.7959,0.804,0.8024,0.8011,0.7973,0.732212,0.8001400000000001,0.797074971452009,0.8032050285479911,0.7265142797541473,0.7379097202458527
30,0.73868,0.74118,0.73205,0.73332,0.71976,0.7974,0.8081999999999999,0.8059000000000001,0.7957,0.7951999999999999,0.732998,0.80048,0.795017619566526,0.805942380433474,0.7255753686606433,0.7404206313393568
31,0.73775,0.73847,0.73042,0.7325,0.71886,0.7911,0.8015000000000001,0.8012,0.8046,0.7916,0.7316,0.798,0.7924390648268479,0.8035609351731522,0.7245355906120894,0.7386644093879107
