epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.08043,0.0,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0,0.016086,0.015160000000000002,-0.015159999999999998,0.04548,-0.016086,0.048257999999999995
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.12589,0.12709,0.0,0.0,0.0,0.1359,0.1346,0.0,0.050595999999999995,0.054099999999999995,-0.012159972834283592,0.12035997283428358,-0.01137235340720294,0.11256435340720293
8,0.00033,0.0,0.13581,0.13286,0.12784,0.0003,0.0,0.14429999999999998,0.145,0.1286,0.07936800000000001,0.08363999999999999,0.015218816145874822,0.15206118385412515,0.014648739991869511,0.1440872600081305
9,0.0,0.0,0.13364,0.1335,0.13618,0.0,0.0,0.1424,0.1466,0.1466,0.080664,0.08712,0.01597028742152222,0.15826971257847777,0.014795209939759787,0.14653279006024023
10,0.06089,0.00296,0.14574,0.15725,0.13818,0.0602,0.004699999999999999,0.1531,0.1661,0.14859999999999998,0.10100400000000001,0.10654,0.043289621345006954,0.16979037865499302,0.04139068584955204,0.16061731415044797
11,0.13351,0.12923,0.16992,0.17843,0.14686,0.1442,0.1408,0.1801,0.18789999999999998,0.158,0.15158999999999997,0.1622,0.1433293879272558,0.18107061207274422,0.13206768763696264,0.1711123123630373
12,0.13709,0.14206,0.20651,0.19127,0.21395,0.14529999999999998,0.1539,0.2122,0.2028,0.225,0.178176,0.18784,0.15571632648653022,0.2199636735134698,0.1457831849941997,0.2105688150058003
13,0.13807,0.15982,0.25333,0.23716,0.25935,0.1534,0.1724,0.2606,0.2458,0.2681,0.209546,0.22006,0.1724597647064639,0.2676602352935361,0.1590653032536198,0.26002669674638024
14,0.15174,0.16902,0.33798,0.26508,0.31275,0.1625,0.1892,0.3358,0.2759,0.3221,0.24731399999999998,0.2571,0.18734084289500053,0.32685915710499946,0.17237113600348597,0.322256863996514
15,0.17291,0.17955,0.43938,0.33312,0.38051,0.1866,0.1973,0.4321,0.3458,0.3931,0.301094,0.31098,0.20996543867342687,0.4119945613265731,0.19370716158858198,0.40848083841141797
16,0.17226,0.24564,0.50233,0.40789,0.47797,0.18789999999999998,0.2593,0.502,0.4213,0.4972,0.36121800000000004,0.3735399999999999,0.24579981681553756,0.5012801831844623,0.23099872225664897,0.4914372777433511
17,0.20775,0.27458,0.60992,0.4509,0.57477,0.2148,0.2965,0.6072,0.4559,0.5918,0.42358399999999996,0.43323999999999996,0.27682344588887015,0.5896565541111298,0.2641406038244292,0.5830273961755708
18,0.26799,0.34068,0.65333,0.53659,0.66255,0.26170000000000004,0.3624,0.6454000000000001,0.5387,0.6498999999999999,0.492228,0.49162,0.3363921751746808,0.6468478248253192,0.3308706933293692,0.6535853066706308
19,0.32074,0.39198,0.67938,0.62901,0.68291,0.3273,0.4022,0.7090000000000001,0.6305,0.7081000000000001,0.5408040000000001,0.55542,0.39538868556435586,0.7154513144356442,0.3873409956504175,0.6942670043495827
20,0.38098,0.44788,0.70915,0.67137,0.74065,0.38630000000000003,0.46259999999999996,0.7404000000000001,0.6949,0.7467,0.590006,0.60618,0.4547900743113995,0.7575699256886006,0.44344497071867983,0.7365670292813202
21,0.45718,0.53897,0.76713,0.74198,0.77103,0.4819,0.5670000000000001,0.7737,0.7352,0.7681,0.655258,0.6651800000000001,0.5464342312332773,0.7839257687667229,0.5239591053511874,0.7865568946488126
22,0.55357,0.62841,0.77426,0.73171,0.72296,0.5769,0.6305,0.7901,0.7467,0.785,0.682182,0.70584,0.6194256123090605,0.7922543876909396,0.6021486311092679,0.762215368890732
23,0.63367,0.6534,0.79659,0.75802,0.78271,0.6374,0.6545000000000001,0.8051999999999999,0.7816,0.7927,0.724878,0.73428,0.6615719426748315,0.8069880573251685,0.6570347290293281,0.7927212709706719
24,0.68023,0.71194,0.80031,0.77792,0.77837,0.6948000000000001,0.7228,0.8112,0.8,0.8081999999999999,0.749754,0.7674000000000001,0.7186029509088921,0.816197049091108,0.704077762589285,0.7954302374107151
25,0.69163,0.69582,0.80806,0.80969,0.82009,0.7168000000000001,0.7434999999999999,0.8229000000000001,0.813,0.8245,0.7650579999999999,0.7841400000000001,0.739083475500212,0.8291965244997881,0.7066537530996245,0.8234622469003753
26,0.71247,0.74186,0.83876,0.81226,0.79439,0.7591,0.7556,0.8401000000000001,0.8172,0.83,0.7799480000000001,0.8004,0.764491171002106,0.836308828997894,0.733654449088453,0.8262415509115472
27,0.75317,0.76488,0.81891,0.84114,0.80741,0.7764,0.7764,0.8371,0.8337,0.8306999999999999,0.7971020000000001,0.8108599999999999,0.7826507391092924,0.8390692608907074,0.7639675252644622,0.830236474735538
28,0.78378,0.75238,0.79752,0.81001,0.82443,0.785,0.7915000000000001,0.8501000000000001,0.8399,0.8331000000000001,0.7936240000000001,0.8199200000000001,0.7934215170245541,0.8464184829754461,0.7690042464675214,0.8182437535324788
29,0.79095,0.78757,0.84403,0.83986,0.81542,0.8016,0.8066,0.8558,0.8404,0.8370000000000001,0.8155660000000001,0.82828,0.8074851544848248,0.8490748455151752,0.7919433730503994,0.8391886269496008
30,0.75871,0.81453,0.84651,0.83023,0.83111,0.7792,0.8144,0.8622,0.8464,0.8467,0.8162179999999999,0.8297800000000001,0.800086741505857,0.8594732584941431,0.7857360955975515,0.8466999044024482
31,0.75936,0.78625,0.83659,0.82285,0.80708,0.8144,0.8203,0.8583,0.8593999999999999,0.8467,0.802426,0.8398199999999999,0.8208493489832319,0.8587906510167679,0.7751411260952153,0.8297108739047846
32,0.81081,0.83722,0.86109,0.83633,0.8251,0.8287,0.8354,0.8649,0.863,0.8568000000000001,0.8341099999999999,0.8497600000000001,0.8349019247545317,0.8646180752454684,0.8175776619923254,0.8506423380076744
33,0.79355,0.8267,0.83132,0.862,0.86081,0.8349,0.838,0.8759999999999999,0.8584,0.867,0.8348760000000001,0.8548600000000001,0.8388009091166406,0.8709190908833595,0.8095951213760282,0.8601568786239719
34,0.79974,0.82144,0.86574,0.82734,0.83611,0.8328,0.8368000000000001,0.8782,0.8691,0.8665,0.830074,0.8566800000000001,0.8383536910426569,0.8750063089573433,0.8085767019372201,0.8515712980627799
35,0.81146,0.79053,0.87969,0.85398,0.84045,0.8332999999999999,0.8493,0.8742,0.8719,0.863,0.8352219999999999,0.8583400000000001,0.8430700818600755,0.8736099181399247,0.8038576728750638,0.866586327124936
36,0.80593,0.85498,0.87194,0.87227,0.86382,0.8362,0.8609,0.875,0.8761,0.873,0.853788,0.86424,0.8492028992156068,0.8792771007843933,0.8290351032806259,0.8785408967193741
37,0.79681,0.8438,0.85395,0.86136,0.85648,0.8397,0.8583,0.8868,0.8737,0.8712000000000001,0.8424799999999999,0.8659399999999999,0.8500030492251497,0.8818769507748502,0.8189363953482054,0.8660236046517944
38,0.81439,0.84873,0.86605,0.87323,0.88218,0.8464,0.8464,0.8865000000000001,0.8826,0.8714,0.856916,0.8666599999999999,0.8493908830567396,0.8839291169432602,0.8329856112860656,0.8808463887139344
39,0.83133,0.82177,0.88031,0.81483,0.8735,0.8539,0.8626,0.8898999999999999,0.8808,0.8698,0.8443480000000001,0.8713999999999998,0.8586182943235262,0.8841817056764735,0.8171684073614045,0.8715275926385957
40,0.83849,0.85728,0.88496,0.87901,0.86449,0.8604999999999999,0.8726999999999999,0.8845999999999999,0.8833,0.8829,0.864846,0.8768,0.8676043488539419,0.8859956511460582,0.8483705532989239,0.8813214467010761
41,0.83784,0.88228,0.84868,0.85655,0.88518,0.8643000000000001,0.8656,0.8809999999999999,0.8815000000000001,0.8795000000000001,0.862106,0.87438,0.8666414213191311,0.882118578680869,0.8434546455183545,0.8807573544816456
42,0.82514,0.87142,0.87318,0.88832,0.86081,0.8664000000000001,0.8763,0.8896,0.8854000000000001,0.8815000000000001,0.8637739999999999,0.8798400000000001,0.8718138925997717,0.8878661074002284,0.8425569713673191,0.8849910286326808
43,0.83263,0.86353,0.87163,0.88158,0.86382,0.8648,0.8748,0.8931999999999999,0.8898999999999999,0.8820999999999999,0.8626380000000001,0.88096,0.8706630878414935,0.8912569121585064,0.846253078395061,0.8790229216049392
44,0.84793,0.87833,0.8924,0.87612,0.86849,0.8709,0.882,0.8946,0.8915000000000001,0.8811,0.872654,0.8840199999999999,0.8756220478686765,0.8924179521313234,0.8580749072984634,0.8872330927015367
45,0.85379,0.85597,0.89488,0.85879,0.85013,0.8740000000000001,0.8809999999999999,0.8970999999999999,0.8935,0.8815999999999999,0.8627120000000001,0.88544,0.8768813552474706,0.8939986447525294,0.8463808905459551,0.8790431094540452
46,0.83588,0.88984,0.87628,0.86489,0.86081,0.8665,0.8878,0.8961,0.8909,0.8859999999999999,0.86554,0.8854600000000001,0.8753798015892544,0.8955401984107458,0.8476048468085717,0.8834751531914282
47,0.8463,0.86123,0.86202,0.89377,0.8765,0.8781,0.8841,0.8909,0.8909,0.8885,0.8679640000000001,0.8865000000000001,0.8816206557817674,0.8913793442182327,0.8519089713796582,0.884019028620342
48,0.84142,0.85827,0.89271,0.90372,0.85781,0.8737,0.8815000000000001,0.9013,0.8964,0.888,0.8707860000000001,0.88818,0.8782398993968874,0.8981201006031125,0.8473224157895688,0.8942495842104313
49,0.82742,0.86518,0.8707,0.87003,0.87183,0.867,0.882,0.9023,0.8933,0.8844,0.861032,0.8858,0.8739818783218314,0.8976181216781687,0.8440732059391005,0.8779907940608995
